Region,Country,Year,Series,Value
1,"Total, all countries or areas",1990,Primary energy production (petajoules),361763
1,"Total, all countries or areas",1995,Primary energy production (petajoules),381604
1,"Total, all countries or areas",2000,Primary energy production (petajoules),412860
1,"Total, all countries or areas",2005,Primary energy production (petajoules),477404
1,"Total, all countries or areas",2010,Primary energy production (petajoules),530934
1,"Total, all countries or areas",2015,Primary energy production (petajoules),570508
1,"Total, all countries or areas",2016,Primary energy production (petajoules),570167
1,"Total, all countries or areas",2017,Primary energy production (petajoules),581665
1,"Total, all countries or areas",1990,Net imports [Imports - Exports - Bunkers] (petajoules),-8317
1,"Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),-8718
1,"Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),-10452
1,"Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),-13321
1,"Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),-12898
1,"Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),-17407
1,"Total, all countries or areas",2016,Net imports [Imports - Exports - Bunkers] (petajoules),-21798
1,"Total, all countries or areas",2017,Net imports [Imports - Exports - Bunkers] (petajoules),-20029
1,"Total, all countries or areas",1990,Changes in stocks (petajoules),4119
1,"Total, all countries or areas",1995,Changes in stocks (petajoules),220
1,"Total, all countries or areas",2000,Changes in stocks (petajoules),-2989
1,"Total, all countries or areas",2005,Changes in stocks (petajoules),-305
1,"Total, all countries or areas",2010,Changes in stocks (petajoules),73
1,"Total, all countries or areas",2015,Changes in stocks (petajoules),2553
1,"Total, all countries or areas",2016,Changes in stocks (petajoules),-4567
1,"Total, all countries or areas",2017,Changes in stocks (petajoules),-1762
1,"Total, all countries or areas",1990,Total supply (petajoules),349326
1,"Total, all countries or areas",1995,Total supply (petajoules),372667
1,"Total, all countries or areas",2000,Total supply (petajoules),405396
1,"Total, all countries or areas",2005,Total supply (petajoules),464387
1,"Total, all countries or areas",2010,Total supply (petajoules),517963
1,"Total, all countries or areas",2015,Total supply (petajoules),550548
1,"Total, all countries or areas",2016,Total supply (petajoules),552936
1,"Total, all countries or areas",2017,Total supply (petajoules),563396
1,"Total, all countries or areas",1990,Supply per capita (gigajoules),62
1,"Total, all countries or areas",1995,Supply per capita (gigajoules),65
1,"Total, all countries or areas",2000,Supply per capita (gigajoules),66
1,"Total, all countries or areas",2005,Supply per capita (gigajoules),71
1,"Total, all countries or areas",2010,Supply per capita (gigajoules),74
1,"Total, all countries or areas",2015,Supply per capita (gigajoules),75
1,"Total, all countries or areas",2016,Supply per capita (gigajoules),74
1,"Total, all countries or areas",2017,Supply per capita (gigajoules),75
2,Africa,1990,Primary energy production (petajoules),28052
2,Africa,1995,Primary energy production (petajoules),32236
2,Africa,2000,Primary energy production (petajoules),37241
2,Africa,2005,Primary energy production (petajoules),44734
2,Africa,2010,Primary energy production (petajoules),47153
2,Africa,2015,Primary energy production (petajoules),44265
2,Africa,2016,Primary energy production (petajoules),43763
2,Africa,2017,Primary energy production (petajoules),45629
2,Africa,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-12208
2,Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-13018
2,Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-16261
2,Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-20515
2,Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-19197
2,Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-13434
2,Africa,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-12283
2,Africa,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-13019
2,Africa,1990,Changes in stocks (petajoules),-11
2,Africa,1995,Changes in stocks (petajoules),321
2,Africa,2000,Changes in stocks (petajoules),-33
2,Africa,2005,Changes in stocks (petajoules),3
2,Africa,2010,Changes in stocks (petajoules),20
2,Africa,2015,Changes in stocks (petajoules),-29
2,Africa,2016,Changes in stocks (petajoules),-76
2,Africa,2017,Changes in stocks (petajoules),46
2,Africa,1990,Total supply (petajoules),15856
2,Africa,1995,Total supply (petajoules),18896
2,Africa,2000,Total supply (petajoules),21012
2,Africa,2005,Total supply (petajoules),24215
2,Africa,2010,Total supply (petajoules),27936
2,Africa,2015,Total supply (petajoules),30859
2,Africa,2016,Total supply (petajoules),31556
2,Africa,2017,Total supply (petajoules),32562
2,Africa,1990,Supply per capita (gigajoules),25
2,Africa,1995,Supply per capita (gigajoules),26
2,Africa,2000,Supply per capita (gigajoules),26
2,Africa,2005,Supply per capita (gigajoules),27
2,Africa,2010,Supply per capita (gigajoules),27
2,Africa,2015,Supply per capita (gigajoules),26
2,Africa,2016,Supply per capita (gigajoules),26
2,Africa,2017,Supply per capita (gigajoules),26
3,North America,1990,Primary energy production (petajoules),90168
